Species,EPU,sex,YEAR,MeanCond,nCond,n
Butterfish,SS,M,2002,105.63204102944223,7,21
Butterfish,SS,M,2003,84.93119123141906,9,21
Butterfish,SS,M,2006,81.5170810228936,16,21
Butterfish,SS,M,2007,108.89046970705921,5,21
Butterfish,SS,M,2008,103.6892629597302,8,21
Butterfish,SS,M,2009,98.43031089175898,12,21
Butterfish,SS,M,2010,105.39253885893582,19,21
Butterfish,SS,M,2011,101.48608971890017,8,21
Butterfish,SS,M,2012,116.64708888920177,22,21
Butterfish,SS,M,2013,95.15407259510523,6,21
Butterfish,SS,M,2014,102.50798117842987,28,21
Butterfish,SS,M,2015,99.34975903389046,9,21
Butterfish,SS,M,2016,100.615669269287,3,21
Haddock,SS,F,1992,101.55527156618827,75,27
Haddock,SS,F,1993,102.11710257951836,54,27
Haddock,SS,F,1994,101.8927014521057,97,27
Haddock,SS,F,1995,99.25964082279201,123,27
Haddock,SS,F,1996,100.88730164558484,95,27
Haddock,SS,F,1997,101.54210396979708,74,27
Haddock,SS,F,1998,101.89545448793018,83,27
Haddock,SS,F,1999,103.4550595812745,84,27
Haddock,SS,F,2000,99.96189594384539,125,27
Haddock,SS,F,2001,98.66539330299112,103,27
Haddock,SS,F,2002,98.25435364850715,130,27
Haddock,SS,F,2003,99.00810820490935,95,27
Haddock,SS,F,2004,98.73809105436428,113,27
Haddock,SS,F,2005,98.29519512452525,171,27
Haddock,SS,F,2006,98.31925879905934,124,27
Haddock,SS,F,2007,99.44001094500449,175,27
Haddock,SS,F,2008,103.03896258418906,156,27
Haddock,SS,F,2009,102.17351501587278,103,27
Haddock,SS,F,2010,99.09544376418049,117,27
Haddock,SS,F,2011,99.044519168213,167,27
Haddock,SS,F,2012,102.10712795006941,122,27
Haddock,SS,F,2013,102.69682766093246,141,27
Haddock,SS,F,2014,101.3826730244217,192,27
Haddock,SS,F,2015,102.21239661902902,263,27
Haddock,SS,F,2016,100.93248572817896,204,27
Haddock,SS,F,2017,100.01486124937185,83,27
Haddock,SS,F,2018,100.02736891432487,51,27
Haddock,SS,M,1992,102.26177334572316,58,27
Haddock,SS,M,1993,104.63866299778307,49,27
Haddock,SS,M,1994,102.10505673108791,83,27
Haddock,SS,M,1995,99.01965683001733,123,27
Haddock,SS,M,1996,100.69328628665049,84,27
Haddock,SS,M,1997,102.59446313576821,63,27
Haddock,SS,M,1998,102.20138960368993,80,27
Haddock,SS,M,1999,104.30360123882059,83,27
Haddock,SS,M,2000,100.01496976855205,102,27
Haddock,SS,M,2001,100.91373866563852,97,27
Haddock,SS,M,2002,99.97599375927697,112,27
Haddock,SS,M,2003,100.2531781585345,90,27
Haddock,SS,M,2004,100.81999125025669,132,27
Haddock,SS,M,2005,98.80384040911495,137,27
Haddock,SS,M,2006,99.65882320589459,127,27
Haddock,SS,M,2007,100.96806768631912,143,27
Haddock,SS,M,2008,103.55611578603926,91,27
Haddock,SS,M,2009,101.10757420973502,43,27
Haddock,SS,M,2010,99.84056920748571,116,27
Haddock,SS,M,2011,100.18318765850603,118,27
Haddock,SS,M,2012,101.73223646703494,142,27
Haddock,SS,M,2013,102.95253515634718,109,27
Haddock,SS,M,2014,101.22261000839059,147,27
Haddock,SS,M,2015,102.47578437957775,137,27
Haddock,SS,M,2016,101.96812244491505,109,27
Haddock,SS,M,2017,101.67029573975972,62,27
Haddock,SS,M,2018,102.40785295332925,44,27
Little Skate,SS,F,1992,103.63025620925674,11,25
Little Skate,SS,F,1993,96.0687774432134,23,25
Little Skate,SS,F,1994,113.56866094010144,4,25
Little Skate,SS,F,1995,101.39416597623983,4,25
Little Skate,SS,F,1996,100.9838769758585,15,25
Little Skate,SS,F,1997,114.87900005881023,3,25
Little Skate,SS,F,1998,96.0443055163631,12,25
Little Skate,SS,F,1999,114.96885614379725,3,25
Little Skate,SS,F,2000,98.19361279813754,9,25
Little Skate,SS,F,2001,102.34913063006333,4,25
Little Skate,SS,F,2002,91.01360766183305,6,25
Little Skate,SS,F,2003,92.5052686737437,5,25
Little Skate,SS,F,2004,103.96832514895996,10,25
Little Skate,SS,F,2005,101.4085929567875,4,25
Little Skate,SS,F,2006,84.33039008980407,4,25
Little Skate,SS,F,2007,109.72430258402103,10,25
Little Skate,SS,F,2008,111.00198614907565,6,25
Little Skate,SS,F,2010,102.07194492393502,9,25
Little Skate,SS,F,2011,100.43692942471816,8,25
Little Skate,SS,F,2013,107.31046548497523,5,25
Little Skate,SS,F,2014,116.04005668069888,3,25
Little Skate,SS,F,2015,98.93951703257954,5,25
Little Skate,SS,F,2016,103.96596968792498,4,25
Little Skate,SS,F,2017,103.9936041045062,5,25
Little Skate,SS,F,2018,92.08103069608869,6,25
Pollock,SS,F,1992,99.01651825078784,15,27
Pollock,SS,F,1993,92.181473805776875,8,27
Pollock,SS,F,1994,101.72608700200485,15,27
Pollock,SS,F,1995,102.88026652356804,40,27
Pollock,SS,F,1996,99.65957740593115,15,27
Pollock,SS,F,1997,103.91651829321493,13,27
Pollock,SS,F,1998,99.13247928004061,19,27
Pollock,SS,F,1999,100.29692147326476,34,27
Pollock,SS,F,2000,94.31349096944365,14,27
Pollock,SS,F,2001,98.35143888493664,20,27
Pollock,SS,F,2002,99.49872410664055,35,27
Pollock,SS,F,2003,95.40668366438821,32,27
Pollock,SS,F,2004,97.67605904400904,66,27
Pollock,SS,F,2005,101.81038889344453,24,27
Pollock,SS,F,2006,97.95138931248462,4,27
Pollock,SS,F,2007,99.228866035294,20,27
Pollock,SS,F,2008,97.13734412539236,28,27
Pollock,SS,F,2009,100.37899849422988,4,27
Pollock,SS,F,2010,101.23026758543529,6,27
Pollock,SS,F,2011,101.35661578383372,28,27
Pollock,SS,F,2012,102.12539929689096,52,27
Pollock,SS,F,2013,102.77861278091413,12,27
Pollock,SS,F,2014,101.37743201285069,51,27
Pollock,SS,F,2015,97.6462029044297,52,27
Pollock,SS,F,2016,100.22027069072169,12,27
Pollock,SS,F,2017,98.92477695114354,25,27
